;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Freight Medium Freight Trucks WTT Intensity (gCO2e/tkm);15,69384067;15,38765197;15,08451259;14,78437719;14,48720134;14,19294149;13,83133131;13,47720255;13,1303254;12,79047938;12,45745286;11,9744595;11,51687057;11,08273308;10,67028926;10,27795271;9,703336177;9,148075414;8,61120863;8,091836719;7,589118233;6,849970384;6,124581322;5,412570422;4,71357097;4,027229535;3,318276958;2,617932553;1,926040483;1,242448653;0,567008592;-0,091172449;-0,738539413;-1,375356647;-2,00187995;-2,618356916
Freight Medium Freight Trucks WTW Emissions (MTCO2e);878,2672086;868,0296055;857,7920024;847,5543993;837,3167962;827,0791931;818,1554066;809,2316201;800,3078336;791,3840471;782,4602606;778,9803073;775,500354;772,0204006;768,5404473;765,060494;750,6576826;736,2548712;721,8520598;707,4492484;693,0464371;670,6978055;648,3491739;626,0005423;603,6519107;581,3032791;557,6951418;534,0870045;510,4788673;486,87073;463,2625927;442,0530827;420,8435727;399,6340626;378,4245526;357,2150425
Freight Medium Freight Trucks WTW Intensity (gCO2e/tkm);99,47180064;97,82030572;96,18525792;94,56641277;92,96353062;91,37637651;89,44564363;87,554856;85,70278668;83,88825844;82,11014132;79,53709074;77,09937712;74,78659644;72,58938441;70,49928982;67,98711283;65,5595577;63,21241956;60,94176759;58,74392305;56,31552967;53,93233935;51,59310159;49,2966116;47,0417082;44,85556274;42,69596167;40,56242446;38,45448208;36,37167673;34,41899586;32,49839802;30,60909894;28,75033974;26,92138584
Freight Rail Activity (bln tkm);10827,45752;11364,86524;11902,27296;12439,68068;12977,0884;13514,49612;13913,9435;14313,39087;14712,83825;15112,28562;15511,73299;15943,91617;16376,09935;16808,28253;17240,46571;17672,64889;18101,31521;18529,98153;18958,64785;19387,31417;19815,9805;20215,88319;20615,78589;21015,68858;21415,59128;21815,49398;22186,91271;22558,33144;22929,75018;23301,16891;23672,58765;24007,30379;24342,01994;24676,73609;25011,45224;25346,16839
Freight Rail TTW Emissions (MTCO2e);76,07410529;76,51596758;76,95782988;77,39969218;77,84155447;78,28341677;77,06314895;75,84288113;74,6226133;73,40234548;72,18207766;70,64231216;69,10254665;67,56278115;66,02301565;64,48325015;62,65556887;60,82788758;59,0002063;57,17252502;55,34484373;53,49039709;51,63595046;49,78150382;47,92705718;46,07261055;44,00929811;41,94598567;39,88267323;37,81936079;35,75604835;33,49595409;31,23585984;28,97576558;26,71567133;24,45557707
Freight Rail TTW Intensity (gCO2e/tkm);7,026035904;6,732677067;6,465809524;6,221999917;5,998383617;5,792551646;5,538555547;5,298736114;5,071938674;4,857130637;4,653385775;4,430675086;4,219719554;4,019612416;3,829537831;3,648759762;3,461382123;3,282673946;3,112047165;2,948965726;2,792939958;2,645958951;2,504680187;2,368778145;2,237951619;2,11192149;1,983570165;1,859445401;1,739341812;1,623067106;1,510441059;1,395240148;1,283207388;1,174213862;1,06813755;0,964862882
Freight Rail WTT Emissions (MTCO2e);76,44770448;78,84275654;81,23780861;83,63286067;86,02791274;88,4229648;88,20714581;87,99132681;87,77550782;87,55968883;87,34386983;84,50980056;81,67573129;78,84166202;76,00759275;73,17352348;68,48589831;63,79827314;59,11064797;54,4230228;49,73539763;43,9106815;38,08596537;32,26124924;26,43653311;20,61181698;15,60773996;10,60366294;5,599585925;0,595508908;-4,408568109;-8,599316137;-12,79006416;-16,98081219;-21,17156022;-25,36230825
Freight Rail WTT Intensity (gCO2e/tkm);7,060540698;6,937412356;6,825402918;6,723071339;6,62921528;6,542823645;6,339478511;6,147482983;5,965912651;5,79394084;5,630826025;5,300441852;4,987496078;4,690643549;4,40867399;4,140495516;3,783476367;3,442975538;3,117872563;2,80714607;2,509863069;2,172088208;1,847417584;1,535103126;1,234452636;0,944824674;0,703466055;0,470055286;0,244206146;0,02555704;-0,186230934;-0,358195831;-0,525431505;-0,688130397;-0,846474648;-1,000636777
Freight Rail WTW Emissions (MTCO2e);152,5218098;155,3587241;158,1956385;161,0325528;163,8694672;166,7063816;165,2702948;163,8342079;162,3981211;160,9620343;159,5259475;155,1521127;150,7782779;146,4044432;142,0306084;137,6567736;131,1414672;124,6261607;118,1108543;111,5955478;105,0802414;97,40107859;89,72191583;82,04275306;74,36359029;66,68442752;59,61703807;52,54964861;45,48225915;38,41486969;31,34748024;24,89663795;18,44579567;11,99495339;5,544111107;-0,906731175
Freight Rail WTW Intensity (gCO2e/tkm);14,0865766;13,67008942;13,29121244;12,94507126;12,6275989;12,33537529;11,87803406;11,4462191;11,03785133;10,65107148;10,2842118;9,731116938;9,207215633;8,710255966;8,238211821;7,789255278;7,24485849;6,725649484;6,229919728;5,756111796;5,302803027;4,81804716;4,352097772;3,903881271;3,472404255;3,056746164;2,68703622;2,329500688;1,983547958;1,648624146;1,324210125;1,037044316;0,757775884;0,486083465;0,221662903;-0,035773895
