;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Chicken Eastern Africa Intensity (tCO2e/t);2,033182285;2,062721139;2,019329268;1,97275823;1,925965858;1,882575237;1,984470996;1,946834148;1,909432764;1,877024071;1,843159556;1,947981006;1,912274705;1,873126464;1,837528879;1,80521928;1,75290037;1,723988354;1,69817023;1,672386546;1,650069971;1,545013288;1,523972652;1,503739731;1,485543656;1,468473413;1,336172873;1,319100702;1,304681364;1,28893917;1,275876987;1,252486364;1,233461943;1,208808951;1,18776421;1,161862383
Chicken India Intensity (tCO2e/t);1,989920893;1,932026571;1,870689881;1,808030833;1,746601024;1,682597056;1,644787494;1,608525799;1,575914807;1,543140074;1,508654579;1,485365654;1,456946694;1,427883971;1,402412917;1,374018838;1,349976226;1,324053821;1,296788881;1,272791726;1,246970905;1,224043845;1,201914524;1,185001369;1,168728679;1,15546581;1,139625062;1,129810696;1,120811008;1,113826832;1,106233455;1,098512333;1,091475276;1,079115745;1,06517194;1,049808155
Chicken Indonesia Region Intensity (tCO2e/t);4,002047048;3,915734845;3,853997155;3,791388881;3,727231738;3,667203298;3,531351643;3,48872569;3,441821155;3,402153274;3,354646798;3,030454833;2,991330131;2,953734714;2,914226095;2,875014119;2,761624869;2,729861976;2,699239131;2,668738702;2,641195798;2,607263333;2,580191071;2,555757071;2,532151381;2,50816706;2,472458655;2,440874119;2,406605726;2,378958798;2,34572744;2,299858298;2,259172976;2,214952429;2,169856857;2,126332917
Chicken Japan Intensity (tCO2e/t);1,960863318;1,915068586;1,859682401;1,804594526;1,747691865;1,692344323;1,645079114;1,604753299;1,56668696;1,528536263;1,492703364;1,470310132;1,44133734;1,413276335;1,384619245;1,357065656;1,345597485;1,319904574;1,29645752;1,271724371;1,250214008;1,245714824;1,223796926;1,204987325;1,186695926;1,176976325;1,142955879;1,132706445;1,122598189;1,114786267;1,108121035;1,098773517;1,088230393;1,0772445;1,062801476;1,051182393
Chicken Korea Intensity (tCO2e/t);1,669498619;1,627168425;1,586660254;1,541774427;1,499624127;1,45360719;1,423558176;1,395589054;1,372868502;1,347364639;1,322267839;1,302969048;1,279582932;1,257416779;1,23427869;1,211242496;1,20207357;1,184220927;1,165913751;1,14814799;1,131770037;1,122211219;1,107539473;1,094357406;1,085083923;1,079180245;1,063255893;1,058004301;1,052448612;1,049628468;1,048594057;1,038889345;1,028648482;1,016627183;1,003876977;0,988110189
Chicken Mexico Intensity (tCO2e/t);2,52666275;2,353749488;2,287059905;2,21770056;2,148281464;2,081790262;1,989286952;1,931791821;1,88043206;1,827718;1,778164631;1,794601024;1,75740794;1,722282833;1,685135452;1,652688869;1,618081881;1,580891048;1,545411762;1,510506536;1,478946512;1,49905206;1,46749256;1,438043417;1,412694857;1,392359262;1,344662893;1,323325821;1,303527226;1,285312524;1,268402536;1,199732976;1,182707012;1,163308536;1,142404095;1,122511905
Chicken Middle East Intensity (tCO2e/t);2,565357725;2,484634712;2,405971449;2,328519864;2,246589067;2,169265613;2,107559768;2,053962518;2,010849554;1,965838268;1,924423006;1,876523542;1,838731804;1,800970208;1,763460448;1,725930257;1,725707079;1,69177884;1,656569711;1,623918139;1,596094973;1,590901605;1,561296998;1,53573064;1,517699177;1,505980868;1,465887417;1,452493976;1,443166857;1,435206906;1,433370454;1,401537955;1,392547729;1,381237635;1,363075825;1,349717064
Chicken Northern Africa Intensity (tCO2e/t);2,357883155;2,290556583;2,216468214;2,140635155;2,066431393;1,994856774;1,931746071;1,884407786;1,839864524;1,796951119;1,758503964;1,721097917;1,683641095;1,648629607;1,611649667;1,576844381;1,55473681;1,518741655;1,487288179;1,455120202;1,430014048;1,425711905;1,398249786;1,373974869;1,356460262;1,344152548;1,310275619;1,29706375;1,287701476;1,278118131;1,273972929;1,247556224;1,234930661;1,219101417;1,203553079;1,183638781
Chicken Oceania Intensity (tCO2e/t);2,57725619;2,440187488;2,368700583;2,296360798;2,220409357;2,155388607;2,073469655;2,022914821;1,974737571;1,928536893;1,880395345;1,882571607;1,843421321;1,80390756;1,76397906;1,726360048;1,973541583;1,926967643;1,879779786;1,831192607;1,786620976;1,767508095;1,724481762;1,659583286;1,600724571;1,582421738;1,486880119;1,470082429;1,45364056;1,438699298;1,42791856;1,400316071;1,390722881;1,381411238;1,369570298;1,358591571
Chicken Rest of South America Intensity (tCO2e/t);1,359599774;1,347339869;1,321039988;1,29207681;1,260458036;1,231407333;1,110089238;1,092906024;1,075857202;1,058655869;1,043094583;0,985350131;0,969666095;0,954243417;0,937672179;0,920288;0,983104643;0,966250774;0,948267;0,932371202;0,919606226;1,105601762;1,088853952;1,074124381;1,064973607;1,059236012;0,917951357;0,912151929;0,909833583;0,907596429;0,907049488;0,723019202;0,718785214;0,712164583;0,704630929;0,696616881
