";2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050"
"LV.RMF.GHG-INT (kg/sqm);28,48410343;26,30159749;24,24370812;22,26902931;20,11594132;18,36246321;16,5703698;14,82591632;13,29136509;11,85012925;10,40801795;9,231669195;8,074716098;7,010612588;6,01994793;5,102279367;4,163757412;3,376535029;2,7104604;2,179162398;1,755305761;1,519890015;1,342675181;1,188269433;1,054977005;0,931476562;0,843196863;0,75935319;0,685885974;0,619045285;0,555934844"
"LT.RMF.GHG-INT (kg/sqm);30,54925407;28,5918057;26,3191685;24,1140179;21,95702242;20,00970298;18,0160118;16,18324982;14,47477164;12,87032608;11,30958123;9,999830092;8,725336918;7,538065091;6,431195793;5,404189016;4,426663617;3,542158558;2,79245481;2,193455695;1,714679511;1,448739333;1,248225277;1,073028626;0,921301954;0,780151873;0,678836394;0,582119886;0,496879506;0,418856413;0,344769968"
"LU.RMF.GHG-INT (kg/sqm);32,58375198;30,17059554;27,47840503;24,9270266;22,50419933;20,32227974;18,13323827;16,1540589;14,32047327;12,61911489;10,99245417;9,630762035;8,326231886;7,124134733;6,017275176;5,002970011;4,059173914;3,207931015;2,493702991;1,927855406;1,4794278;1,228939782;1,040523102;0,877325717;0,737190309;0,608413793;0,516027416;0,429048104;0,35322084;0,284714372;0,220616098"
"MT.RMF.GHG-INT (kg/sqm);20,04186068;18,28277779;17,01989606;15,80575872;14,07711272;13,00672226;11,90147788;10,61224964;9,6626636;8,764713231;7,764360997;7,022147595;6,24910987;5,55449954;4,894900759;4,27168399;3,48628144;2,931239171;2,454327298;2,066891059;1,755425366;1,583564562;1,456103363;1,346434259;1,252152753;1,167377437;1,110721195;1,058192774;1,008948188;0,961138402;0,907339131"
"NL.RMF.GHG-INT (kg/sqm);29,19910726;27,30075652;25,12469198;23,02992471;20,99393783;19,15491406;17,26932766;15,53719581;13,91661171;12,39108373;10,90426953;9,653824194;8,434048255;7,294455447;6,229431189;5,238821308;4,296927398;3,439414218;2,711006964;2,127907394;1,660904218;1,401634453;1,20593082;1,034558111;0,88583564;0,747157764;0,647549637;0,552289023;0,468236156;0,391215996;0,317986273"
"PL.RMF.GHG-INT (kg/sqm);66,60604006;62,68570628;58,01681988;53,46872627;49,0268316;44,9517477;40,70748852;36,79239652;33,07756675;29,54764018;26,07894337;23,14259554;20,25327594;17,53029714;14,96607275;12,56346695;10,27436082;8,16407154;6,361405125;4,911530157;3,744799841;3,098354421;2,609443768;2,179202629;1,804047099;1,452057705;1,198892419;0,95521139;0,73907851;0,539843154;0,349129624"
"PT.RMF.GHG-INT (kg/sqm);13,89682171;12,46265873;11,66670303;10,89768216;9,5752707;8,895317278;8,190296536;7,256676571;6,643344549;6,062063483;5,370489532;4,88954982;4,376938823;3,933772318;3,51791854;3,129711658;2,552418554;2,212732633;1,92386232;1,692934358;1,508475603;1,408700174;1,334746517;1,270591893;1,215643656;1,164737168;1,130019114;1,097021707;1,06852792;1,042621726;1,01765263"
"RO.RMF.GHG-INT (kg/sqm);27,98007858;25,98976339;23,96312374;22,01637501;19,96386741;18,25843586;16,50869306;14,82054296;13,31499691;11,8963268;10,47804966;9,313245674;8,164510563;7,100965179;6,106270104;5,180437757;4,243197363;3,440575675;2,758339125;2,211818834;1,77368299;1,530393743;1,346472232;1,184996074;1,044409744;0,9128455;0,817872864;0,72674725;0,646112299;0,572193602;0,502142445"
"SK.RMF.GHG-INT (kg/sqm);20,10707525;18,86084965;17,4966914;16,17762467;14,82569444;13,63931345;12,39985616;11,21870935;10,13055005;9,0943419;8,058702592;7,193791767;6,335735462;5,53005175;4,769891498;4,056417622;3,351472063;2,72294585;2,185628783;1,753351948;1,405486735;1,213408789;1,068457496;0,941005464;0,830000318;0,725854549;0,651355489;0,579623119;0,516100293;0,457583395;0,401557095"
"SI.RMF.GHG-INT (kg/sqm);26,999231;25,10373317;23,05974865;21,10417541;19,14537812;17,44398932;15,71019328;14,08808037;12,60803745;11,21969499;9,857188834;8,725440106;7,620848194;6,596918654;5,64323026;4,759210209;3,896776241;3,137050182;2,493578874;1,979726489;1,569217678;1,340861719;1,168593352;1,018145062;0,887923116;0,766957142;0,680072008;0,597330029;0,524558344;0,458132691;0,395251813"
